


2025-05-06,ESSO,53.2,Gas - Van,Other,1,PCF MC
2025-05-07,Palladium Orthodontics,525,Joliet Mapping (700),Other,1,CIBC MC
2025-05-07,Linden Europe,53.97,Souvenirs & Food ,Other,1,PCF MC
2025-05-07,Amazon.ca,15.79,Mother's Day,Other,1,CIBC MC
2025-05-08,Linden Europe,117.44,Food & Souvenirs (194.24),Other,2,PCF MC
2025-05-08,March Road Pet Food,19.79,"Tippy Food, Both",Other,2,CIBC MC
2025-05-08,Algonquin College,6,Parking,Other,2,CIBC MC
2025-05-08,Baked2go.com,66.75,GF Baking,Other,2,CIBC MC
2025-05-08,Shoppers Drug Mart,19.71,Mother's Day,Other,2,CIBC MC
2025-05-08,Crumbl,26.54,Cookies,Food,2,CIBC MC
2025-05-08,Subway,36.91,Supper,Food,2,CIBC MC
2025-05-09,Koodo,192.47,Cell Phones (-68),Other,2,CIBC MC
2025-05-09,Algonquin College,14,Parking,Other,2,CIBC MC
2025-05-09,Vending Machine,3,Kevin Pop,Other,2,CIBC MC
2025-05-09,ESSO,45.58,Gas - Car,Gas,2,CIBC MC
2025-05-10,Linden Europe,29.09,Airport Food,Other,2,PCF MC
2025-05-10,Beachcrest Farms,11,Linda Chicken Pie,Other,2,CIBC MC
2025-05-10,Rocket Scone,22,Scones,Other,2,CIBC MC
2025-05-10,Terramor Farm,25,Linda Tulips,Other,2,CIBC MC
2025-05-10,Shoppers Drug Mart,28.73,Linda Gift Card; Groceries,Other,2,CIBC MC
2025-05-10,Farm Boy,26.74,GF Groceries; Salad,Other,2,CIBC MC
2025-05-11,Costco,372.76,Gardening; S. Salt; T Dentals,Other,2,CIBC MC
2025-05-11,Canadian Tire,56.2,Seeds & Flowers,Other,2,CIBC MC
2025-05-12,Groove Dental,30.8,Linden Filling (308),Other,2,CIBC MC
2025-05-13,Costco,559.2,Grocery; TP; Pharmacy; Steamer,Other,2,CIBC MC
2025-05-13,OCSB,70,Joliet Calypso,Other,2,CIBC MC
2025-05-13,DC Photo,50.85,Showcase Video,Other,2,CIBC MC
2025-05-13,Sobeys,71.33,Flowers; Steak; GF Flour; Tomato,Other,2,CIBC MC
2025-05-14,Bobbi Coady,80,Amara Tutoring,Other,2,Debit
